Day,corona: (Germany),coronavirus: (Germany),covid19: (Germany),covid: (Germany)
2020-01-27,2,6,0,0
2020-01-28,4,14,0,0
2020-01-29,3,11,0,0
2020-01-30,3,10,0,0
2020-01-31,3,10,0,0
2020-02-01,2,7,0,0
2020-02-02,3,6,0,0
2020-02-03,2,5,0,0
2020-02-04,2,4,0,0
2020-02-05,2,4,0,0
2020-02-06,2,4,0,0
2020-02-07,2,4,0,0
2020-02-08,2,4,0,0
2020-02-09,1,3,0,0
2020-02-10,1,3,0,0
2020-02-11,1,3,<1,<1
2020-02-12,1,3,<1,<1
2020-02-13,2,3,<1,<1
2020-02-14,1,3,<1,<1
2020-02-15,2,3,<1,<1
2020-02-16,1,2,<1,<1
2020-02-17,1,2,<1,<1
2020-02-18,1,2,<1,<1
2020-02-19,1,2,<1,<1
2020-02-20,1,2,<1,<1
2020-02-21,1,2,<1,<1
2020-02-22,2,3,<1,<1
2020-02-23,4,8,<1,<1
2020-02-24,6,10,<1,<1
2020-02-25,10,15,<1,<1
2020-02-26,18,25,<1,<1
2020-02-27,21,28,<1,<1
2020-02-28,26,29,<1,<1
2020-02-29,23,25,<1,<1
2020-03-01,21,23,<1,<1
2020-03-02,23,23,<1,<1
2020-03-03,23,20,<1,<1
2020-03-04,22,20,<1,<1
2020-03-05,25,20,<1,<1
2020-03-06,26,20,<1,<1
2020-03-07,21,19,<1,<1
2020-03-08,27,24,<1,1
2020-03-09,32,26,<1,1
2020-03-10,39,29,<1,1
2020-03-11,49,33,<1,1
2020-03-12,78,40,<1,1
2020-03-13,100,46,<1,2
2020-03-14,93,44,<1,2
2020-03-15,95,45,<1,2
2020-03-16,95,41,<1,2
2020-03-17,88,35,<1,2
2020-03-18,84,34,<1,2
2020-03-19,83,30,<1,2
2020-03-20,84,30,<1,2
2020-03-21,83,30,<1,2
2020-03-22,90,56,<1,2
2020-03-23,69,24,<1,2
2020-03-24,63,21,<1,2
2020-03-25,61,20,<1,2
2020-03-26,58,18,<1,2
2020-03-27,60,19,<1,2
2020-03-28,59,20,<1,2
2020-03-29,56,18,<1,2
2020-03-30,54,16,<1,2
2020-03-31,50,15,<1,2
2020-04-01,50,15,<1,2
2020-04-02,47,15,<1,2
2020-04-03,44,33,<1,2
2020-04-04,45,33,<1,2
2020-04-05,45,33,<1,2
2020-04-06,43,19,<1,2
2020-04-07,40,18,<1,1
2020-04-08,38,17,<1,1
2020-04-09,37,16,<1,1
2020-04-10,36,18,<1,1
2020-04-11,36,18,<1,1
2020-04-12,35,18,<1,1
2020-04-13,38,18,<1,1
2020-04-14,36,15,<1,1
2020-04-15,61,21,<1,1
2020-04-16,45,14,<1,1
2020-04-17,37,12,<1,1
2020-04-18,33,13,<1,1
2020-04-19,34,13,<1,1
2020-04-20,33,11,<1,1
2020-04-21,32,11,<1,1
2020-04-22,32,11,<1,1
2020-04-23,32,11,<1,1
2020-04-24,30,10,<1,1
2020-04-25,29,11,<1,1
2020-04-26,31,11,<1,1
2020-04-27,30,10,<1,1
2020-04-28,31,10,<1,1
2020-04-29,31,10,<1,1
2020-04-30,31,9,<1,1
2020-05-01,28,10,<1,1
2020-05-02,27,10,<1,1
2020-05-03,31,10,<1,1
2020-05-04,30,9,<1,1
2020-05-05,32,9,<1,1
2020-05-06,44,11,<1,1
2020-05-07,36,9,<1,1
2020-05-08,30,8,<1,1
2020-05-09,29,9,<1,1
2020-05-10,30,11,<1,1
2020-05-11,30,9,<1,1
2020-05-12,28,8,<1,1
2020-05-13,27,8,<1,1
2020-05-14,25,7,<1,1
2020-05-15,24,7,<1,1
2020-05-16,24,8,<1,1
2020-05-17,24,8,<1,1
2020-05-18,25,7,<1,1
2020-05-19,23,5,<1,1
2020-05-20,23,4,<1,1
2020-05-21,22,5,<1,1
2020-05-22,20,4,<1,1
2020-05-23,21,<1,1,<1
2020-05-24,22,<1,1,<1
2020-05-25,23,<1,1,<1
2020-05-26,23,<1,1,<1
2020-05-27,22,<1,1,<1
2020-05-28,21,<1,1,<1
2020-05-29,20,<1,1,<1
2020-05-30,19,<1,1,<1
2020-05-31,19,<1,1,<1
2020-06-01,20,<1,1,<1
2020-06-02,20,<1,1,<1
2020-06-03,19,<1,1,<1
2020-06-04,20,<1,1,<1
2020-06-05,18,<1,1,<1
