Day,corona,corona virus,covid,covid19,corona(Kor),naver(all)
2020-01-20,<1,<1,0,0,1,0.07507
2020-01-21,<1,1,0,0,1,0.15296
2020-01-22,<1,1,0,0,1,0.23807
2020-01-23,1,1,0,0,4,0.97466
2020-01-24,1,2,0,0,6,1.51068
2020-01-25,1,3,0,0,8,1.35777
2020-01-26,1,3,0,0,8,2.16287
2020-01-27,2,4,0,0,13,2.14245
2020-01-28,3,6,0,0,16,3.04655
2020-01-29,3,5,0,0,14,2.85228
2020-01-30,3,5,0,0,14,3.02219
2020-01-31,3,6,0,0,22,4.58385
2020-02-01,3,5,0,0,18,3.18341
2020-02-02,3,5,0,0,22,3.39812
2020-02-03,2,4,0,0,19,4.41942
2020-02-04,2,4,0,0,16,4.19654
2020-02-05,2,3,0,0,16,3.8162
2020-02-06,2,4,0,0,20,4.78438
2020-02-07,2,4,0,0,16,4.30966
2020-02-08,1,4,0,0,13,3.43778
2020-02-09,2,3,0,0,11,3.08639
2020-02-10,2,3,0,0,11,3.69543
2020-02-11,1,2,0,<1,10,2.88101
2020-02-12,1,2,<1,<1,8,3.16013
2020-02-13,2,3,<1,<1,9,3.8308
2020-02-14,1,2,0,<1,8,2.86835
2020-02-15,1,2,<1,<1,7,2.20718
2020-02-16,1,1,<1,<1,7,2.2763
2020-02-17,1,2,0,<1,8,2.67986
2020-02-18,1,2,<1,<1,14,4.76124
2020-02-19,3,3,<1,<1,31,17.39939
2020-02-20,4,5,<1,<1,50,41.3445
2020-02-21,5,8,<1,1,65,63.6029
2020-02-22,7,9,<1,1,71,70.94704
2020-02-23,9,10,<1,1,72,71.04546
2020-02-24,9,9,<1,1,73,91.60896
2020-02-25,8,8,1,1,63,100.0
2020-02-26,8,8,<1,1,58,85.90871
2020-02-27,6,7,<1,1,54,82.00904
2020-02-28,6,6,<1,1,51,77.22429
2020-02-29,6,6,<1,1,47,68.29198
2020-03-01,5,5,<1,1,41,58.61636
2020-03-02,5,5,<1,1,40,73.20179
2020-03-03,4,4,<1,1,36,60.11381
2020-03-04,4,4,<1,1,34,53.909
2020-03-05,3,4,<1,1,33,47.71836
2020-03-06,3,4,<1,1,31,40.85991
2020-03-07,4,5,<1,1,29,32.7689
2020-03-08,4,5,<1,1,29,31.5741
